Model,Avg Gap (Last 10)
SimpleCNN,11.478253745318353
EfficientNet-B0,2.4683910736579264
ResNet50 (CE),2.376857053682902
ResNet50 (Focal),3.5205056179775296
ResNet50 (LS),2.618921660424472
ResNet50-SE,2.2187500000000013
Hierarchical,1.1846285892634199
